ZIP (character),ZIP (numeric),state
02879,2879,RI
02880,2880,RI
02881,2881,RI
02882,2882,RI
02883,2883,RI
02885,2885,RI
02886,2886,RI
02887,2887,RI
02888,2888,RI
02889,2889,RI
02891,2891,RI
02892,2892,RI
02893,2893,RI
02894,2894,RI
02895,2895,RI
02896,2896,RI
02898,2898,RI
02901,2901,RI
02902,2902,RI
02903,2903,RI
02904,2904,RI
02905,2905,RI
02906,2906,RI
02907,2907,RI
02908,2908,RI
02909,2909,RI
02910,2910,RI
02911,2911,RI
02912,2912,RI
02914,2914,RI
02915,2915,RI
02916,2916,RI
02917,2917,RI
02918,2918,RI
02919,2919,RI
02920,2920,RI
02921,2921,RI
02940,2940,RI
03031,3031,NH
03032,3032,NH
03033,3033,NH
03034,3034,NH
03036,3036,NH
03037,3037,NH
03038,3038,NH
03040,3040,NH
03041,3041,NH
03042,3042,NH
03043,3043,NH
03044,3044,NH
03045,3045,NH
03046,3046,NH
03047,3047,NH
03048,3048,NH
03049,3049,NH
03051,3051,NH
03052,3052,NH
03053,3053,NH
03054,3054,NH
03055,3055,NH
03057,3057,NH
03060,3060,NH
03061,3061,NH
03062,3062,NH
03063,3063,NH
03064,3064,NH
03070,3070,NH
03071,3071,NH
03073,3073,NH
03076,3076,NH
03077,3077,NH
03079,3079,NH
03082,3082,NH
03084,3084,NH
03086,3086,NH
03087,3087,NH
03101,3101,NH
03102,3102,NH
03103,3103,NH
03104,3104,NH
03105,3105,NH
03106,3106,NH
03107,3107,NH
03108,3108,NH
03109,3109,NH
03110,3110,NH
03111,3111,NH
03215,3215,NH
03216,3216,NH
03217,3217,NH
03218,3218,NH
03220,3220,NH
03221,3221,NH
03222,3222,NH
03223,3223,NH
03224,3224,NH
03225,3225,NH
03226,3226,NH
03227,3227,NH
03229,3229,NH
03230,3230,NH
03231,3231,NH
03233,3233,NH
03234,3234,NH
03235,3235,NH
03237,3237,NH
03238,3238,NH
03240,3240,NH
03241,3241,NH
03242,3242,NH
03243,3243,NH
03244,3244,NH
03245,3245,NH
03246,3246,NH
03247,3247,NH
03249,3249,NH
03251,3251,NH
03252,3252,NH
03253,3253,NH
03254,3254,NH
03255,3255,NH
03256,3256,NH
03257,3257,NH
03258,3258,NH
03259,3259,NH
03260,3260,NH
03261,3261,NH
03262,3262,NH
03263,3263,NH
03264,3264,NH
03266,3266,NH
03268,3268,NH
03269,3269,NH
03272,3272,NH
03273,3273,NH
03274,3274,NH
03275,3275,NH
03276,3276,NH
03278,3278,NH
03279,3279,NH
03280,3280,NH
03281,3281,NH
03282,3282,NH
03284,3284,NH
03285,3285,NH
03287,3287,NH
03289,3289,NH
03290,3290,NH
03291,3291,NH
03293,3293,NH
03298,3298,NH
03299,3299,NH
03301,3301,NH
03302,3302,NH
03303,3303,NH
03304,3304,NH
03305,3305,NH
03307,3307,NH
03431,3431,NH
03435,3435,NH
03440,3440,NH
03441,3441,NH
03442,3442,NH
03443,3443,NH
03444,3444,NH
03445,3445,NH
03446,3446,NH
03447,3447,NH
03448,3448,NH
03449,3449,NH
03450,3450,NH
03451,3451,NH
03452,3452,NH
03455,3455,NH
03456,3456,NH
03457,3457,NH
03458,3458,NH
03461,3461,NH
03462,3462,NH
03464,3464,NH
03465,3465,NH
03466,3466,NH
03467,3467,NH
03468,3468,NH
03469,3469,NH
03470,3470,NH
03561,3561,NH
03570,3570,NH
03574,3574,NH
03575,3575,NH
03576,3576,NH
03579,3579,ME
03580,3580,NH
03581,3581,NH
03582,3582,NH
03583,3583,NH
03584,3584,NH
03585,3585,NH
03586,3586,NH
03588,3588,NH
03589,3589,NH
03590,3590,NH
03592,3592,NH
03593,3593,NH
03595,3595,NH
03597,3597,NH
03598,3598,NH
03601,3601,NH
03602,3602,NH
03603,3603,NH
03604,3604,NH
03605,3605,NH
03607,3607,NH
03608,3608,NH
03609,3609,NH
03740,3740,NH
03741,3741,NH
03743,3743,NH
03745,3745,NH
03746,3746,NH
03748,3748,NH
03749,3749,NH
03750,3750,NH
03751,3751,NH
03752,3752,NH
03753,3753,NH
03754,3754,NH
03755,3755,NH
03756,3756,NH
03765,3765,NH
03766,3766,NH
03768,3768,NH
03769,3769,NH
03770,3770,NH
03771,3771,NH
03773,3773,NH
03774,3774,NH
03777,3777,NH
03779,3779,NH
03780,3780,NH
03781,3781,NH
03782,3782,NH
03784,3784,NH
03785,3785,NH
03801,3801,NH
03802,3802,NH
03803,3803,NH
03804,3804,NH
03805,3805,NH
03809,3809,NH
03810,3810,NH
03811,3811,NH
03812,3812,NH
03813,3813,NH
03814,3814,NH
03815,3815,NH
03816,3816,NH
03817,3817,NH
03818,3818,NH
03819,3819,NH
03820,3820,NH
03821,3821,NH
03822,3822,NH
03823,3823,NH
03824,3824,NH
03825,3825,NH
03826,3826,NH
03827,3827,NH
03830,3830,NH
03832,3832,NH
03833,3833,NH
03835,3835,NH
03836,3836,NH
03837,3837,NH
03838,3838,NH
03839,3839,NH
03840,3840,NH
03841,3841,NH
03842,3842,NH
03843,3843,NH
03844,3844,NH
03845,3845,NH
03846,3846,NH
03847,3847,NH
03848,3848,NH
03849,3849,NH
03850,3850,NH
03851,3851,NH
03852,3852,NH
03853,3853,NH
03854,3854,NH
03855,3855,NH
03856,3856,NH
03857,3857,NH
03858,3858,NH
03859,3859,NH
03860,3860,NH
03861,3861,NH
03862,3862,NH
03864,3864,NH
03865,3865,NH
03866,3866,NH
03867,3867,NH
03868,3868,NH
03869,3869,NH
03870,3870,NH
03871,3871,NH
03872,3872,NH
03873,3873,NH
03874,3874,NH
03875,3875,NH
03878,3878,NH
03882,3882,NH
03883,3883,NH
03884,3884,NH
03885,3885,NH
03886,3886,NH
03887,3887,NH
03890,3890,NH
03894,3894,NH
03896,3896,NH
03897,3897,NH
03901,3901,ME
03902,3902,ME
03903,3903,ME
03904,3904,ME
03905,3905,ME
03906,3906,ME
03907,3907,ME
03908,3908,ME
03909,3909,ME
03910,3910,ME
03911,3911,ME
04001,4001,ME
04002,4002,ME
04003,4003,ME
04004,4004,ME
04005,4005,ME
04006,4006,ME
04007,4007,ME
04008,4008,ME
04009,4009,ME
04010,4010,ME
04011,4011,ME
04014,4014,ME
04015,4015,ME
04016,4016,ME
04017,4017,ME
04019,4019,ME
04020,4020,ME
04021,4021,ME
04022,4022,ME
04024,4024,ME
04027,4027,ME
04028,4028,ME
04029,4029,ME
04030,4030,ME
04032,4032,ME
04033,4033,ME
04034,4034,ME
04037,4037,ME
04038,4038,ME
04039,4039,ME
04040,4040,ME
04041,4041,ME
04042,4042,ME
04043,4043,ME
04046,4046,ME
04047,4047,ME
04048,4048,ME
04049,4049,ME
04050,4050,ME
04051,4051,ME
04054,4054,ME
04055,4055,ME
04056,4056,ME
04057,4057,ME
04061,4061,ME
04062,4062,ME
04063,4063,ME
04064,4064,ME
04066,4066,ME
04068,4068,ME
04069,4069,ME
04070,4070,ME
04071,4071,ME
04072,4072,ME
04073,4073,ME
04074,4074,ME
04076,4076,ME
04077,4077,ME
04078,4078,ME
04079,4079,ME
04082,4082,ME
04083,4083,ME
04084,4084,ME
04085,4085,ME
04086,4086,ME
04087,4087,ME
04088,4088,ME
04090,4090,ME
04091,4091,ME
04092,4092,ME
04093,4093,ME
04094,4094,ME
04095,4095,ME
04096,4096,ME
04097,4097,ME
04098,4098,ME
04101,4101,ME
04102,4102,ME
04103,4103,ME
04104,4104,ME
04105,4105,ME
04106,4106,ME
04107,4107,ME
04108,4108,ME
04109,4109,ME
04110,4110,ME
04112,4112,ME
04116,4116,ME
04122,4122,ME
04123,4123,ME
04124,4124,ME
04210,4210,ME
04211,4211,ME
04212,4212,ME
04216,4216,ME
04217,4217,ME
04219,4219,ME
04220,4220,ME
04221,4221,ME
04222,4222,ME
04223,4223,ME
04224,4224,ME
04225,4225,ME
04226,4226,ME
04227,4227,ME
04228,4228,ME
04230,4230,ME
04231,4231,ME
04234,4234,ME
04236,4236,ME
04237,4237,ME
04238,4238,ME
04239,4239,ME
04240,4240,ME
04241,4241,ME
04243,4243,ME
04250,4250,ME
04252,4252,ME
04253,4253,ME
04254,4254,ME
04255,4255,ME
04256,4256,ME
04257,4257,ME
04258,4258,ME
04259,4259,ME
04260,4260,ME
04261,4261,ME
04262,4262,ME
04263,4263,ME
04265,4265,ME
04266,4266,ME
04267,4267,ME
04268,4268,ME
04270,4270,ME
04271,4271,ME
04274,4274,ME
04275,4275,ME
04276,4276,ME
04280,4280,ME
04281,4281,ME
04282,4282,ME
04284,4284,ME
04285,4285,ME
04286,4286,ME
04287,4287,ME
04288,4288,ME
04289,4289,ME
04290,4290,ME
04291,4291,ME
04292,4292,ME
04294,4294,ME
04330,4330,ME
04332,4332,ME
04333,4333,ME
04336,4336,ME
04338,4338,ME
04341,4341,ME
04342,4342,ME
04343,4343,ME
04344,4344,ME
04345,4345,ME
04346,4346,ME
04347,4347,ME
04348,4348,ME
04349,4349,ME
04350,4350,ME
04351,4351,ME
04352,4352,ME
04353,4353,ME
04354,4354,ME
04355,4355,ME
04357,4357,ME
04358,4358,ME
04359,4359,ME
04360,4360,ME
04363,4363,ME
04364,4364,ME
04401,4401,ME
04402,4402,ME
04406,4406,ME
04408,4408,ME
04410,4410,ME
04411,4411,ME
04412,4412,ME
04413,4413,ME
04414,4414,ME
04415,4415,ME
04416,4416,ME
04417,4417,ME
04418,4418,ME
04419,4419,ME
04420,4420,ME
04421,4421,ME
04422,4422,ME
04424,4424,ME
04426,4426,ME
04427,4427,ME
04428,4428,ME
04429,4429,ME
04430,4430,ME
04431,4431,ME
04434,4434,ME
04435,4435,ME
04438,4438,ME
04441,4441,ME
04442,4442,ME
04443,4443,ME
04444,4444,ME
04448,4448,ME
04449,4449,ME
04450,4450,ME
04451,4451,ME
04453,4453,ME
04454,4454,ME
04455,4455,ME
04456,4456,ME
04457,4457,ME
04459,4459,ME
04460,4460,ME
04461,4461,ME
04462,4462,ME
04463,4463,ME
04464,4464,ME
04468,4468,ME
04469,4469,ME
04471,4471,ME
04472,4472,ME
04473,4473,ME
04474,4474,ME
04475,4475,ME
04476,4476,ME
04478,4478,ME
04479,4479,ME
04481,4481,ME
04485,4485,ME
04487,4487,ME
04488,4488,ME
04489,4489,ME
04490,4490,ME
04491,4491,ME
04492,4492,ME
04493,4493,ME
04495,4495,ME
04496,4496,ME
04497,4497,ME
04530,4530,ME
04535,4535,ME
04537,4537,ME
04538,4538,ME
04539,4539,ME
04541,4541,ME
04543,4543,ME
04544,4544,ME
04547,4547,ME
04548,4548,ME
04549,4549,ME
04551,4551,ME
04553,4553,ME
04554,4554,ME
04555,4555,ME
04556,4556,ME
04558,4558,ME
04562,4562,ME
04563,4563,ME
04564,4564,ME
04565,4565,ME
04568,4568,ME
04571,4571,ME
04572,4572,ME
04573,4573,ME
04574,4574,ME
04575,4575,ME
04576,4576,ME
04578,4578,ME
04579,4579,ME
04605,4605,ME
04606,4606,ME
04607,4607,ME
04609,4609,ME
04611,4611,ME
04612,4612,ME
04613,4613,ME
04614,4614,ME
04616,4616,ME
04617,4617,ME
04619,4619,ME
04622,4622,ME
04623,4623,ME
04624,4624,ME
04625,4625,ME
04626,4626,ME
04627,4627,ME
04628,4628,ME
04629,4629,ME
04630,4630,ME
04631,4631,ME
04634,4634,ME
04635,4635,ME
04637,4637,ME
04640,4640,ME
04642,4642,ME
04643,4643,ME
04644,4644,ME
04646,4646,ME
04648,4648,ME
04649,4649,ME
04652,4652,ME
04653,4653,ME
04654,4654,ME
04655,4655,ME
04657,4657,ME
04658,4658,ME
04660,4660,ME
04662,4662,ME
04664,4664,ME
04666,4666,ME
04667,4667,ME
04668,4668,ME
04669,4669,ME
04671,4671,ME
04672,4672,ME
04673,4673,ME
04674,4674,ME
04675,4675,ME
04676,4676,ME
04677,4677,ME
04679,4679,ME
04680,4680,ME
04681,4681,ME
04683,4683,ME
04684,4684,ME
04685,4685,ME
04686,4686,ME
04691,4691,ME
04693,4693,ME
04694,4694,ME
04730,4730,ME
04732,4732,ME
04733,4733,ME
04734,4734,ME
04735,4735,ME
04736,4736,ME
04738,4738,ME
04739,4739,ME
04740,4740,ME
04742,4742,ME
04743,4743,ME
04744,4744,ME
04745,4745,ME
04746,4746,ME
04747,4747,ME
04750,4750,ME
04751,4751,ME
04756,4756,ME
04757,4757,ME
04758,4758,ME
04760,4760,ME
04761,4761,ME
04762,4762,ME
04763,4763,ME
04764,4764,ME
04765,4765,ME
04766,4766,ME
04768,4768,ME
04769,4769,ME
04772,4772,ME
04773,4773,ME
04774,4774,ME
04775,4775,ME
04776,4776,ME
04777,4777,ME
04779,4779,ME
04780,4780,ME
04781,4781,ME
04783,4783,ME
04785,4785,ME
